date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:41	59369/59369	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/components_sortable.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/components_sortable.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:41	1721/1721	---M--	200	added ('OK')	image/png	etag:%225a5e7c89-6b9%22	http://altair_html.tzdthemes.com/assets/img/avatars/avatar_07_tn.png	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/assets/img/avatars/avatar_07_tn.png	(from http://altair_html.tzdthemes.com/index.html)
11:54:41	1677/1677	---M--	200	added ('OK')	image/png	etag:%225a5e7c89-68d%22	http://altair_html.tzdthemes.com/assets/img/avatars/avatar_02_tn.png	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/assets/img/avatars/avatar_02_tn.png	(from http://altair_html.tzdthemes.com/index.html)
11:54:41	66408/66408	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/components_tabs.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/components_tabs.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:41	1642/1642	---M--	200	added ('OK')	image/png	etag:%225a5e7c89-66a%22	http://altair_html.tzdthemes.com/assets/img/avatars/avatar_09_tn.png	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/assets/img/avatars/avatar_09_tn.png	(from http://altair_html.tzdthemes.com/index.html)
11:54:41	1689/1689	---M--	200	added ('OK')	image/png	etag:%225a5e7c89-699%22	http://altair_html.tzdthemes.com/assets/img/avatars/avatar_11_tn.png	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/assets/img/avatars/avatar_11_tn.png	(from http://altair_html.tzdthemes.com/index.html)
11:54:42	67023/67023	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:36%20GMT	http://altair_html.tzdthemes.com/page_settings.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/page_settings.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:42	7940/7940	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:34%20GMT	http://altair_html.tzdthemes.com/login.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/login.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:42	466/466	---M--	200	added ('OK')	image/png	etag:%225a5e7c88-1d2%22	http://altair_html.tzdthemes.com/assets/img/logo_main.png	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/assets/img/logo_main.png	(from http://altair_html.tzdthemes.com/index.html)
11:54:42	10254/10254	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2023:50:45%20GMT	http://altair_html.tzdthemes.com/login_v2.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/login_v2.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:43	407/407	---M--	200	added ('OK')	image/png	etag:%225a5e7c88-197%22	http://altair_html.tzdthemes.com/assets/img/logo_main_white.png	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/assets/img/logo_main_white.png	(from http://altair_html.tzdthemes.com/index.html)
11:54:43	461/461	---M--	200	added ('OK')	image/png	etag:%225a5e7c88-1cd%22	http://altair_html.tzdthemes.com/assets/img/logo_main_small.png	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/assets/img/logo_main_small.png	(from http://altair_html.tzdthemes.com/index.html)
11:54:43	1315/1315	---M--	200	added ('OK')	image/png	etag:%225a5e7c88-523%22	http://altair_html.tzdthemes.com/assets/img/logo_main_small_light.png	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/assets/img/logo_main_small_light.png	(from http://altair_html.tzdthemes.com/index.html)
11:54:44	55379/55379	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:36%20GMT	http://altair_html.tzdthemes.com/page_chat_small.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/page_chat_small.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:44	56741/56741	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:36%20GMT	http://altair_html.tzdthemes.com/page_sticky_notes.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/page_sticky_notes.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:45	59135/59135	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/forms_dynamic.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/forms_dynamic.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:46	69593/69593	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/forms_regular.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/forms_regular.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:46	72913/72913	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/forms_advanced.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/forms_advanced.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:46	52006/52006	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/forms_file_input.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/forms_file_input.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:46	50309/50309	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/forms_file_upload.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/forms_file_upload.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:46	55625/55625	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/forms_validation.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/forms_validation.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:47	73558/73558	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/forms_wizard.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/forms_wizard.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:47	50182/50182	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/forms_wysiwyg_ckeditor.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/forms_wysiwyg_ckeditor.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:48	50200/50200	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/forms_wysiwyg_tinymce.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/forms_wysiwyg_tinymce.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:48	49970/49970	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/forms_wysiwyg_inline.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/forms_wysiwyg_inline.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:48	41292/41292	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:36%20GMT	http://altair_html.tzdthemes.com/layout_top_menu.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/layout_top_menu.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:49	50411/50411	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:36%20GMT	http://altair_html.tzdthemes.com/layout_header_full.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/layout_header_full.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:49	52781/52781	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/kendoui_autocomplete.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/kendoui_autocomplete.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:49	49316/49316	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/kendoui_calendar.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/kendoui_calendar.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:50	53891/53891	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/kendoui_combobox.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/kendoui_combobox.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:50	52054/52054	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/kendoui_colorpicker.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/kendoui_colorpicker.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:50	50306/50306	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/kendoui_datepicker.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/kendoui_datepicker.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:50	50770/50770	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/kendoui_dropdown_list.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/kendoui_dropdown_list.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:50	51722/51722	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/kendoui_datetimepicker.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/kendoui_datetimepicker.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:51	57002/57002	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/kendoui_menu.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/kendoui_menu.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:51	50927/50927	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/kendoui_masked_input.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/kendoui_masked_input.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:51	52686/52686	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/kendoui_multiselect.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/kendoui_multiselect.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:52	50910/50910	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/kendoui_numeric_textbox.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/kendoui_numeric_textbox.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:53	51474/51474	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/kendoui_panelbar.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/kendoui_panelbar.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:53	51145/51145	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/kendoui_timepicker.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/kendoui_timepicker.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:53	51292/51292	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/kendoui_toolbar.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/kendoui_toolbar.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:53	50450/50450	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:36%20GMT	http://altair_html.tzdthemes.com/kendoui_window.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/kendoui_window.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:54	56088/56088	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/components_animations.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/components_animations.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:54	50136/50136	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/components_autocomplete.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/components_autocomplete.html	(from http://altair_html.tzdthemes.com/index.html)
11:54:55	56243/56243	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Jan%202018%2022:28:35%20GMT	http://altair_html.tzdthemes.com/components_fab.html	C:/My%20Web%20Sites/admin/altair_html.tzdthemes.com/components_fab.html	(from http://altair_html.tzdthemes.com/index.html)
